Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Saltillo (sllo), Coahuila
Lat 25.3532 N, Lon 101.0332 W, Alt 1786 masl
Time UTC-6h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2021-02-01 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:01:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:02:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:03:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:04:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:05:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:06:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:07:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:08:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:09:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:10:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:11:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:12:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:13:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:14:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:15:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:16:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:17:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:18:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:19:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:20:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:21:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:22:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:23:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:24:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:25:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:26:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:27:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:28:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:29:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:30:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:31:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2021-02-01 00:32:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
